Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference
,Ordered Associative Array (Comparison),AVL Tree,1,Self-balancing BST,,1962,https://zhjwpku.com/assets/pdf/AED2-10-avl-paper.pdf,yes,among the first to be discovered,AVL_tree,"Adelson-Velsky, Landis",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,https://zhjwpku.com/assets/pdf/AED2-10-avl-paper.pdf,O(lg n),3,,,O(lg n),3,,https://zhjwpku.com/assets/pdf/AED2-10-avl-paper.pdf,O(lg n),3,,,O(m*lg((n/m)+1)),6,tree sizes are m ≤ n. also parallelizable?,https://dl.acm.org/doi/pdf/10.1145/322123.322127,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Red-Black Tree,1,Self-balancing BST,,1978,https://ieeexplore.ieee.org/document/4567957,yes,,Red–black_tree,"Guibas, Sedgewick",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,https://ieeexplore.ieee.org/document/4567957,O(lg n),3,,https://ieeexplore.ieee.org/document/4567957,O(lg n),3,,https://ieeexplore.ieee.org/document/4567957,O(lg n),3,,,O(m*lg((n/m)+1)),6,tree sizes are m ≤ n. also parallelizable?,https://dl.acm.org/doi/10.1145/2935764.2935768,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Left-Leaning Red-Black Tree,1,Self-balancing BST,,2008,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.139.282,yes,,Left-leaning_red–black_tree,Sedgewick,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.139.282,O(lg n),3,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.139.282,O(lg n),3,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.139.282,O(lg n),3,,,,,,,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),AA tree,1,Self-balancing BST,,1993,https://cs.gmu.edu/~rcarver/cs310/aa-tree.pdf,yes,,AA_tree,Andersson,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,,,,,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),2-3 tree,1,Self-balancing BST,,1970,,,,2–3_tree,Hopcroft,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,O(m*lg((n/m)+1)),6,tree sizes are m ≤ n,https://dl.acm.org/doi/pdf/10.1145/322123.322127,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),2-3-4 tree,1,Self-balancing BST,,?,?,,,2–3–4_tree,,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,O(lg n),3,,,,,,,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),"(a,b)-tree",1,Self-balancing BST,,?,?,,generalization of 2-3 trees,"(a,b)-tree",,,,O(n),6,,words,Word RAM,"n: number of elements
a, b: bounds (lower, upper) on # of children for internal nodes ",n,O(n lg n/lg a)?,7,,,O(lg n/lg a)?,3,(derived),,O(lg n/lg a)?,3,(derived),,O(lg n/lg a)?,3,(derived),,O(lg n/lg a)?,3,(derived),,,,,,O(lg n/lg a)?,3,(derived),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),B-tree,1,Self-balancing BST,,1970,https://infolab.usc.edu/csci585/Spring2010/den_ar/indexing.pdf,yes,suitable for databases and file systems,B-tree,"Bayer, McCreight",,,O(n),6,,words,Word RAM,"n: number of elements
b: bound variable on # of children for internal nodes ",n,O(n lg n/lg b)?,7,,,O(lg n/lg b),3,,https://infolab.usc.edu/csci585/Spring2010/den_ar/indexing.pdf,O(lg n/lg b),3,,https://infolab.usc.edu/csci585/Spring2010/den_ar/indexing.pdf,O(lg n/lg b),3,,https://infolab.usc.edu/csci585/Spring2010/den_ar/indexing.pdf,O(lg n/lg b),3,,,,,,,O(lg n/lg b),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),B+ tree,1,Self-balancing BST,,1973,https://dl.acm.org/doi/pdf/10.1145/356770.356776,no,"stores keys and records in leaves, along with pred/succ pointers (compared to a B-tree)",B+_tree,,,,O(n),6,,words,Word RAM,"n: number of elements
b: bound variable on # of children for internal nodes ",n,O(n lg n/lg b)?,7,,,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(1)?,1,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,,,,,O(lg n/lg b),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),B* tree,1,Self-balancing BST,,1973,https://dl.acm.org/doi/pdf/10.1145/356770.356776,no,uses 2/3 instead of 1/2 (compared to a B-tree),,,,,O(n),6,,words,Word RAM,"n: number of elements
b: bound variable on # of children for internal nodes ",n,O(n lg n/lg b)?,7,,,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(lg n/lg b),3,,https://dl.acm.org/doi/pdf/10.1145/356770.356776,O(lg n/lg b),3,,,,,,,O(lg n/lg b),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
