Domain,,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference,Improvement,Tradeoff
Approximate Membership Query Filter (with delete),215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,266,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Counting Bloom Filter,2000,https://www.cs.princeton.edu/courses/archive/spr05/cos598E/bib/p254-fan.pdf,yes,,,"Fan, Cao, Almeida, Broder",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Approximate Membership Query Filter (with delete),222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,273,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Spectral Bloom Filter,2003,https://theory.stanford.edu/~matias/papers/sbf-sigmod-03.pdf,yes,For networking,,"Cohen, Matias",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,267,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Optimal Bloom Filter Replacement,2005,https://www.itu.dk/people/pagh/papers/bloom.pdf,yes,,,"Pagh, Pagh, Rao",,,(1+o(1))n*lg(1/eps) + O(n+w),5.99,https://www.itu.dk/people/pagh/papers/bloom.pdf,bits,Word RAM,"n: number of elements
w: word size of elements
eps: false positive error probability",n,O(n),6.0,expected,,O(1),1.0,expected amortized,https://www.itu.dk/people/pagh/papers/bloom.pdf,O(1),1.0,expected amortized,https://www.itu.dk/people/pagh/papers/bloom.pdf,O(1),1.0,false positive error rate is eps,https://www.itu.dk/people/pagh/papers/bloom.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,280,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Bloom Filter with Variable-Length Signatures,2005,http://web.stanford.edu/~balaji/papers/bloom.pdf,yes,For networking. Has false negatives,,"Lu, Prabhakar, Bonomi",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions
t: training parameter
q: querying parameter",n,O(nt),6.0,Assumes evaluation of hash function is constant-time,,O(t),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(q),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,268,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,d-left Counting Bloom Filter,2006,http://www.eecs.harvard.edu/~michaelm/postscripts/esa2006b.pdf,yes,Suitable for implementation(?),,"Bonomi, Mitzenmacher, Panigrahy, Singh, Varghese",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of subtables",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,287,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Stable Bloom Filter,2006,https://dl.acm.org/doi/10.1145/1142473.1142477,yes,Has decay. Has false negatives. Used for duplication,,"Deng, Rafiel",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,269,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,L-CBF,2008,https://ieeexplore.ieee.org/document/4509488,yes,Suitable for implementation(?),,"Safi, Moshovos, Veneris",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,290,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Memory-Optimized Bloom Filter,2008,https://ieeexplore.ieee.org/document/4698251,yes,Used for storage,,"Ahmadi, Wong",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,278,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Parallel Bloom Filter,2009,https://ieeexplore.ieee.org/document/4798158,yes,Is parallelizable. For networking,,"Xiao, Hua",,,O(mp),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions
p: number of attributes",n,O(nkp),6.0,Assumes evaluation of hash function is constant-time,,O(kp),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(kp),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(kp),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,289,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Combinatorial Bloom Filter,2009,https://ieeexplore.ieee.org/document/6087298,yes,Can be parallelized. Used for networking,,"Hao, Kodialam, Lakshman, Song",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions
gamma: number of groups",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k)?,1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(gamma*k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(gamma*k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
